date,stock_code,prediction,pred_rank
2023-07-05,000009.SZ,-0.0023546307,340
2023-07-05,000021.SZ,0.0060593593,14
2023-07-05,000027.SZ,-0.00028833217,225
2023-07-05,000039.SZ,0.0038458914,44
2023-07-05,000050.SZ,0.0011077513,152
2023-07-05,000060.SZ,0.005285725,22
2023-07-05,000088.SZ,0.002411782,87
2023-07-05,000088.SZ,0.002411782,87
2023-07-05,000155.SZ,-0.00052664534,239
2023-07-05,000400.SZ,-0.0013921887,298
2023-07-05,000423.SZ,0.00019575207,203
2023-07-05,000513.SZ,-0.004598437,398
2023-07-05,000519.SZ,-0.002332007,339
2023-07-05,000537.SZ,0.0016628972,121
2023-07-05,000559.SZ,0.001144074,149
2023-07-05,000563.SZ,0.00017766247,205
2023-07-05,000582.SZ,-0.0002890603,226
2023-07-05,000591.SZ,0.00019552012,204
2023-07-05,000598.SZ,-0.00094519794,276
2023-07-05,000623.SZ,0.00037464904,184
2023-07-05,000629.SZ,0.0055977786,16
2023-07-05,000657.SZ,0.003743867,49
2023-07-05,000683.SZ,0.0023497336,95
2023-07-05,000703.SZ,-0.0021196934,328
2023-07-05,000709.SZ,0.0012148878,144
2023-07-05,000728.SZ,0.0018023677,115
2023-07-05,000729.SZ,-0.0027223018,354
2023-07-05,000738.SZ,-0.006343472,433
2023-07-05,000739.SZ,0.0010697328,156
2023-07-05,000750.SZ,0.003174367,59
2023-07-05,000783.SZ,0.0036212904,51
2023-07-05,000783.SZ,0.0036212904,51
2023-07-05,000785.SZ,0.0038033118,48
2023-07-05,000825.SZ,0.0007033198,172
2023-07-05,000830.SZ,-0.0006235046,247
2023-07-05,000878.SZ,0.00040206156,180
2023-07-05,000887.SZ,-0.0003809945,230
2023-07-05,000893.SZ,-0.0021959124,332
2023-07-05,000898.SZ,0.0029194974,68
2023-07-05,000932.SZ,0.0036072643,53
2023-07-05,000933.SZ,0.0003329579,189
2023-07-05,000937.SZ,-0.00038782018,232
2023-07-05,000951.SZ,-0.0023248491,337
2023-07-05,000951.SZ,-0.0023248491,337
2023-07-05,000958.SZ,0.00021967891,200
2023-07-05,000960.SZ,-0.0016916539,315
2023-07-05,000967.SZ,-0.0011072392,286
2023-07-05,000987.SZ,0.0018881882,110
2023-07-05,000997.SZ,-0.0040648673,383
2023-07-05,001213.SZ,0.0028480783,70
2023-07-05,001696.SZ,-0.0063382345,432
2023-07-05,002007.SZ,0.0011187918,150
2023-07-05,002007.SZ,0.0011187918,150
2023-07-05,002008.SZ,-0.0056607774,418
2023-07-05,002025.SZ,-0.002491279,345
2023-07-05,002032.SZ,-0.007109063,450
2023-07-05,002056.SZ,-3.1125204e-05,217
2023-07-05,002065.SZ,0.004346494,31
