date,stock_code,prediction,pred_rank
2023-07-05,000001.SZ,-0.00027695327,422
2023-07-05,000001.SZ,-0.00027695327,422
2023-07-05,000002.SZ,-0.0049208924,681
2023-07-05,000002.SZ,-0.0049208924,681
2023-07-05,000009.SZ,3.0392112e-05,392
2023-07-05,000009.SZ,3.0392112e-05,392
2023-07-05,000021.SZ,0.00588906,53
2023-07-05,000021.SZ,0.00588906,53
2023-07-05,000027.SZ,0.0009552999,294
2023-07-05,000032.SZ,-0.0018317722,541
2023-07-05,000034.SZ,0.003803498,117
2023-07-05,000039.SZ,0.0022441172,214
2023-07-05,000039.SZ,0.0022441172,214
2023-07-05,000050.SZ,0.002799925,171
2023-07-05,000060.SZ,0.0122873,18
2023-07-05,000060.SZ,0.0122873,18
2023-07-05,000063.SZ,-0.015078373,785
2023-07-05,000063.SZ,-0.015078373,785
2023-07-05,000088.SZ,-0.0009812395,479
2023-07-05,000088.SZ,-0.0009812395,479
2023-07-05,000100.SZ,0.0048093675,74
2023-07-05,000155.SZ,0.00085469487,305
2023-07-05,000157.SZ,-0.0031403485,612
2023-07-05,000157.SZ,-0.0031403485,612
2023-07-05,000166.SZ,0.00038567203,361
2023-07-05,000301.SZ,-5.338736e-05,404
2023-07-05,000333.SZ,-0.00825893,762
2023-07-05,000338.SZ,-0.0057522403,707
2023-07-05,000400.SZ,-0.00047420114,441
2023-07-05,000408.SZ,0.0005872167,332
2023-07-05,000423.SZ,-0.007449882,748
2023-07-05,000425.SZ,-0.00042071549,434
2023-07-05,000425.SZ,-0.00042071549,434
2023-07-05,000426.SZ,2.1505693e-06,397
2023-07-05,000513.SZ,-0.003938838,644
2023-07-05,000519.SZ,-0.001057238,486
2023-07-05,000537.SZ,0.0035154023,132
2023-07-05,000538.SZ,-0.00168228,527
2023-07-05,000563.SZ,0.0023026883,208
2023-07-05,000568.SZ,-0.0035028828,626
2023-07-05,000568.SZ,-0.0035028828,626
2023-07-05,000582.SZ,0.003385276,138
2023-07-05,000582.SZ,0.003385276,138
2023-07-05,000591.SZ,0.0005088284,343
2023-07-05,000596.SZ,-0.0076471614,753
2023-07-05,000598.SZ,-0.00044178605,438
2023-07-05,000617.SZ,3.473449e-05,390
2023-07-05,000617.SZ,3.473449e-05,390
2023-07-05,000623.SZ,4.8620503e-05,388
2023-07-05,000625.SZ,-0.004507962,664
2023-07-05,000630.SZ,0.003942667,109
2023-07-05,000651.SZ,-0.0054223193,694
2023-07-05,000657.SZ,0.0045696488,80
2023-07-05,000657.SZ,0.0045696488,80
2023-07-05,000661.SZ,-0.0008201902,471
2023-07-05,000683.SZ,0.0006671276,320
2023-07-05,000703.SZ,-0.0015578833,518
2023-07-05,000708.SZ,0.0009421376,295
2023-07-05,000709.SZ,0.0015698815,267
2023-07-05,000723.SZ,0.001994235,232
2023-07-05,000725.SZ,0.00024450565,370
2023-07-05,000728.SZ,0.0015949553,261
2023-07-05,000729.SZ,-0.007260021,747
2023-07-05,000733.SZ,-0.0048538786,677
2023-07-05,000738.SZ,-0.0064719217,733
2023-07-05,000739.SZ,0.0015765715,266
