factor,IC,ICIR,RankIC,RankICIR,IC_positive,n_days,abs_ICIR
adx_14,0.012036764858314815,0.10948139667525136,0.0009712819531945006,0.009169062132810721,0.5699300699300699,572,0.10948139667525136
lower_shadow_ratio,-0.009022199276388851,-0.09288613739492062,-0.0039029700740174887,-0.035960894340448225,0.4657762938230384,599,0.09288613739492062
new_high_20d,0.008779933363652183,0.0878539194149343,-0.0012793046480923356,-0.01256827886535202,0.5413793103448276,580,0.0878539194149343
momentum_accel_20d,0.010496618140733063,0.07840671974906747,0.0011527529639525393,0.008161165845171745,0.5456171735241503,559,0.07840671974906747
turnover_change_5d,0.008153901415898546,0.07684718193617202,-0.002318200368261081,-0.021032417210954855,0.5137931034482759,580,0.07684718193617202
price_volume_corr_10d,-0.008047510307434077,-0.07384775132294906,-0.021703743958083457,-0.1822440216254731,0.4915254237288136,590,0.07384775132294906
ma60_bias,-0.012302502128810287,-0.06538455980319569,-0.02735664291549219,-0.13739507613828417,0.49074074074074076,540,0.06538455980319569
mom_vol_cross,-0.011380239815845253,-0.06438832998073801,-0.025320840090275656,-0.13951870807787167,0.5198618307426598,579,0.06438832998073801
momentum_5d,0.008221136866867313,0.056413381141231275,-0.005298330991445722,-0.033322830050247366,0.5454545454545454,594,0.056413381141231275
ret_5d,0.008221136866867308,0.05641338114123124,-0.005298330991445722,-0.033322830050247366,0.5454545454545454,594,0.05641338114123124
momentum_60d,-0.010449877394868424,-0.05464710921803066,-0.024798769110846403,-0.12205386126913376,0.4842300556586271,539,0.05464710921803066
macd_signal,-0.008674181648144333,-0.05462059244476991,-0.018794991454577463,-0.10405417009517888,0.4734982332155477,566,0.05462059244476991
ret_1d,0.00799119598956078,0.05326191909470608,-0.0014419584392766094,-0.008916442536269236,0.5501672240802675,598,0.05326191909470608
macd_dif,-0.007990473249974274,-0.04973861232481568,-0.01894931300768496,-0.10352058359081641,0.48586572438162545,566,0.04973861232481568
rsi_bbands_cross,0.007026269744528252,0.047155974551218255,-0.015762952128026714,-0.09870173318355577,0.5396551724137931,580,0.047155974551218255
ma10_bias,0.0068624119399878026,0.04538229171970607,-0.008818220849601197,-0.05323622653816571,0.5305084745762711,590,0.04538229171970607
upper_shadow_ratio,0.004312627294246131,0.04498817430161656,0.003064294544828549,0.02934121240195688,0.5125208681135225,599,0.04498817430161656
ma5_bias,0.006197773681441349,0.044420808606081136,-0.007163132348085756,-0.04694380717110135,0.5378151260504201,595,0.044420808606081136
obv_slope_10d,0.003871684747383284,0.04290313386541163,-0.0016239313203999712,-0.013436447573879386,0.5169491525423728,590,0.04290313386541163
vol_mom_accel_cross,0.0060758243231397065,0.04269270263528348,-0.0001987463041902385,-0.0012988276575230824,0.5371329879101899,579,0.04269270263528348
cci_14,0.005905529587602696,0.04203718831007357,-0.007797929280647798,-0.05018921288316801,0.5273037542662116,586,0.04203718831007357
momentum_slope_10d,0.005723844005181041,0.03984247427691817,-0.0037965206153862657,-0.024618135311579865,0.547945205479452,584,0.03984247427691817
momentum_slope_20d,0.005841972159955882,0.03897415844633811,-0.0071554700789966666,-0.04600717481406763,0.5342706502636204,569,0.03897415844633811
hist_vol_60d,-0.008401374182207252,-0.03699663227280967,-0.05257549921671113,-0.2255394114499092,0.4749536178107607,539,0.03699663227280967
kdj_k,0.004594189845070398,0.03251285048744981,-0.0015054268179903359,-0.009528103247486907,0.5212947189097104,587,0.03251285048744981
ret_3d,0.00444182098395782,0.03232213894460041,-0.009203985127886198,-0.06118089771682653,0.5335570469798657,596,0.03232213894460041
vol_ratio_10d,0.003236369197445631,0.03222822623906862,-0.0034813812734860805,-0.03317717530059742,0.4915254237288136,590,0.03222822623906862
vol_change_20d,0.0030490119185157902,0.03083645934734717,-0.003936924645482245,-0.03826056861448817,0.5223613595706619,559,0.03083645934734717
momentum_20d,-0.0052897385140688764,-0.029863700689145158,-0.022657892087971226,-0.12630699440129659,0.5112262521588946,579,0.029863700689145158
rsi_6,0.0043225472756906426,0.029471438784626255,-0.011026238690556602,-0.06853073399776667,0.524451939291737,593,0.029471438784626255
body_ratio,0.0025647985980424733,0.029170011381260765,0.0006807854765342294,0.006980637233175077,0.5008347245409015,599,0.029170011381260765
willr_14,0.0038708916694470156,0.027574813008867414,-0.007102913239671227,-0.04587260585923815,0.5238907849829352,586,0.027574813008867414
bbands_position,0.003902661532726137,0.026595743876748942,-0.012499740242927446,-0.07817736216893585,0.5103448275862069,580,0.026595743876748942
vol_change_10d,0.002395638157919328,0.02477108988805958,-0.0066244172238945406,-0.06346554247222438,0.4853195164075993,579,0.02477108988805958
momentum_accel_10d,0.003479905510613879,0.024374368236043775,-0.001245551262664715,-0.008210544737063036,0.540587219343696,579,0.024374368236043775
rsi_14,0.0034362906737591937,0.02103966645509917,-0.01627006278993081,-0.09309694650729049,0.5128205128205128,585,0.02103966645509917
kdj_d,0.0024715036786825692,0.01732881868450973,-0.0030635821258742017,-0.019273473162528032,0.5093696763202725,587,0.01732881868450973
new_low_20d,0.0010513373845820744,0.012635336018036998,0.00576998891830062,0.0623013980830534,0.48736462093862815,554,0.012635336018036998
vol_ratio_5d,-0.0010847864625817536,-0.01126144850401945,-0.004665740638473146,-0.04636555701686209,0.4672268907563025,595,0.01126144850401945
atr_norm_14,-0.0021092043160123443,-0.00970581653815677,-0.05360418357384388,-0.24785878356453522,0.4683760683760684,585,0.00970581653815677
adx_rsi_cross,-0.0013249420194517381,-0.00825087793871221,-0.020770784177753413,-0.11904600733767756,0.5034965034965035,572,0.00825087793871221
amplitude_10d,0.0013978759892858104,0.007866715189451232,-0.04559233530500382,-0.25783718830191227,0.5084745762711864,590,0.007866715189451232
macd_adx_cross,-0.0009323897305824412,-0.006866748772433168,-0.008423578727817975,-0.052346215495758845,0.5035335689045937,566,0.006866748772433168
hist_vol_20d,0.0011307223918383296,0.005574422148829781,-0.04612233525441065,-0.2288201450392707,0.5077720207253886,579,0.005574422148829781
ma_bull_score,-0.0007351265920016706,-0.0051856590487276925,-0.011666851401608138,-0.07417909214186547,0.4957983193277311,595,0.0051856590487276925
ret_10d,-0.0008249162765556467,-0.005114195736541786,-0.01777152965397221,-0.10309645052514113,0.5110356536502547,589,0.005114195736541786
momentum_10d,-0.000824916276555646,-0.005114195736541781,-0.01777152965397221,-0.10309645052514113,0.5110356536502547,589,0.005114195736541781
