stock_code,trade_date,close,rps,ma20,ma50,ma60,ma120,ma250,price_percentile,rps_slope,return_60d_rank,volume_ratio,signal_type,market_status,market_message
000593.SZ,2026-03-30,15.6400,96.58962795941376,14.799000000000001,15.085999999999999,14.502666666666666,12.124833333333333,8.943719999999999,96.04863221884499,0.07040794640101142,95.86265128060793,1.3890910399411154,momentum,bullish,无法获取大盘数据
000688.SZ,2026-03-30,42.4000,98.05524239007892,35.619,31.9514,31.264166666666668,25.9045,19.20976,99.69604863221885,0.06355252741147574,96.73515339150013,1.5405326547568672,momentum,bullish,无法获取大盘数据
000893.SZ,2026-03-30,64.2600,95.63134160090192,62.170500000000004,58.1734,56.69166666666667,49.787,39.647800000000004,98.48024316109422,-0.019506093385260687,92.87925696594426,1.5403896599163522,momentum,bullish,无法获取大盘数据
000973.SZ,2026-03-30,19.1500,96.70236753100339,15.908000000000001,14.1554,14.2165,12.344,9.42674,99.69604863221885,0.6506304158962731,95.6656346749226,1.303335175531799,momentum,bullish,无法获取大盘数据
001203.SZ,2026-03-30,42.0400,99.6054114994363,37.840999999999994,34.1578,33.50966666666667,27.894166666666667,18.600920000000002,99.69604863221885,0.061356908096849,91.50014072614692,1.2652198788331566,momentum,bullish,无法获取大盘数据
001309.SZ,2026-03-30,400.3000,98.75986471251409,322.89649999999995,283.1954,275.9933333333333,247.15483333333333,166.1963708,100.0,0.32987481939773544,98.59273853081902,1.58006685979404,momentum,bullish,无法获取大盘数据
002150.SZ,2026-03-30,33.6100,95.74408117249155,32.2465,27.7402,26.523666666666664,23.274166666666666,17.582639999999998,97.87234042553192,0.7909286326303985,97.94539825499578,1.74402195776497,momentum,bullish,无法获取大盘数据
002192.SZ,2026-03-30,81.9800,95.77226606538896,59.29549999999999,57.142999999999994,56.6305,52.1575,41.500896,100.0,1.0846851865993123,95.75007036307346,1.5043875476492627,momentum,bullish,无法获取大盘数据
002246.SZ,2026-03-30,26.6400,95.34949267192785,24.436500000000002,22.2989,21.696583333333333,20.299458333333334,17.07942,100.0,0.05586643371855426,96.59442724458205,1.3946109262909223,momentum,bullish,无法获取大盘数据
002428.SZ,2026-03-30,52.3500,95.12401352874859,44.425,40.4346,39.11450000000001,33.25416666666667,27.19632,100.0,0.16577523612884015,98.17056009006473,1.4768212495088464,momentum,bullish,无法获取大盘数据
002487.SZ,2026-03-30,73.5000,98.11161217587373,71.64099999999999,65.3258,63.249833333333335,56.814933333333336,43.20012800000001,98.78419452887537,0.05312424262554595,92.17562623135379,1.4355536248327179,momentum,bullish,无法获取大盘数据
002636.SZ,2026-03-30,32.2100,98.30890642615559,29.7665,26.062399999999997,24.54216666666667,19.781416666666665,14.91042,99.08814589665653,0.25474841727776676,98.98677174218969,1.357351744616473,momentum,bullish,无法获取大盘数据
003018.SZ,2026-03-30,29.6100,96.92784667418263,26.796999999999997,22.5814,21.655166666666666,18.331000000000003,14.727439999999998,100.0,-0.053724553338833095,97.88910779622853,1.8153103799248005,momentum,bullish,无法获取大盘数据
300461.SZ,2026-03-30,58.3000,95.9977452085682,52.4245,43.5868,39.53816666666667,29.702416666666668,24.712,99.08814589665653,-0.09602230627574074,99.88741908246553,2.0083300973397633,momentum,bullish,无法获取大盘数据
300620.SZ,2026-03-30,188.5000,98.67531003382187,167.656,164.34619999999998,162.35533333333336,144.68775,99.41324,99.3920972644377,0.15640443256817177,83.87278356318603,1.2346042317680421,momentum,bullish,无法获取大盘数据
300720.SZ,2026-03-30,65.8000,95.40586245772266,51.642999999999994,41.1514,39.92966666666667,33.61441666666666,27.712,99.08814589665653,0.9447394281778461,99.40895018294398,1.8636860388292398,momentum,bullish,无法获取大盘数据
301150.SZ,2026-03-30,57.8700,98.28072153325817,49.490500000000004,46.411,45.88916666666667,44.18375,32.8445964,99.69604863221885,0.21673733944461712,91.95046439628483,1.3145254868143226,momentum,bullish,无法获取大盘数据
301205.SZ,2026-03-30,223.6200,97.54791431792559,220.80949999999999,206.27719999999997,200.05,159.7518333333333,120.29108,97.87234042553192,0.36473837471190557,86.54658035462988,1.3661666121622436,momentum,bullish,无法获取大盘数据
301312.SZ,2026-03-30,92.4200,95.71589627959413,85.179,75.7592,71.65166666666667,60.09675000000001,49.5039488,99.3920972644377,0.16973560030978585,98.67717421896988,1.3541742334732296,momentum,bullish,无法获取大盘数据
301396.SZ,2026-03-30,160.0000,96.50507328072153,140.72449999999998,110.76119999999999,103.402,84.96816666666668,72.999224,98.48024316109422,0.22677889322605743,99.7185477061638,1.3666628341871387,momentum,bullish,无法获取大盘数据
301626.SZ,2026-03-30,257.2000,96.75873731679819,246.824,208.1526,204.78933333333333,179.43075,140.25556,99.3920972644377,0.2798160516377366,90.57134815648747,1.5751502932899653,momentum,bullish,无法获取大盘数据
600396.SH,2026-03-30,8.0900,97.77339346110485,5.391500000000001,4.0164,3.8314999999999997,3.4859166666666668,3.3266000000000004,99.08814589665653,3.7452262314369076,99.83112862369829,3.189961435796116,momentum,bullish,无法获取大盘数据
600487.SH,2026-03-30,53.8500,97.97068771138669,47.4235,39.602599999999995,37.145,29.26883333333333,22.6398,100.0,0.041754909160217915,99.1274978891078,1.587062607123063,momentum,bullish,无法获取大盘数据
600722.SH,2026-03-30,16.5000,97.35062006764375,15.585000000000003,11.126800000000001,10.300833333333333,8.333416666666668,7.09176,97.56838905775076,0.7750580473442015,99.8592738530819,3.503529197588693,momentum,bullish,无法获取大盘数据
600726.SH,2026-03-30,6.0100,96.36414881623449,4.455,3.3132,3.1675,2.8591666666666664,2.6536800000000005,99.08814589665653,4.022078151909111,99.66225724739657,4.597832095860604,momentum,bullish,无法获取大盘数据
600777.SH,2026-03-30,5.3800,95.68771138669673,5.254,4.5818,4.464333333333333,4.2205,3.8311599999999997,98.17629179331307,0.9133813951048572,92.79482127779342,1.6070578804365618,momentum,bullish,无法获取大盘数据
600869.SH,2026-03-30,14.3300,96.98421645997746,13.288500000000003,12.608600000000001,11.981500000000002,9.798583333333335,7.55184,98.78419452887537,0.015047082994437178,98.64902898958626,1.222354877562061,momentum,bullish,无法获取大盘数据
601869.SH,2026-03-30,301.6900,99.97181510710259,236.709,191.90400000000002,179.48333333333332,135.09966666666668,89.489472,100.0,0.01518324415550814,99.52153110047847,1.2390459646463754,momentum,bullish,无法获取大盘数据
603115.SH,2026-03-30,45.1700,97.82976324689966,33.351,27.9754,26.610666666666667,22.702333333333332,18.80556,100.0,0.5856500213277727,99.5496763298621,2.0672141823215324,momentum,bullish,无法获取大盘数据
603308.SH,2026-03-30,63.9500,97.63246899661782,63.333000000000006,58.915,56.224000000000004,47.1635,34.93496,96.04863221884499,0.0057986581045075935,96.03152265690966,1.3396053614982881,momentum,bullish,无法获取大盘数据
603538.SH,2026-03-30,43.1000,97.71702367531003,26.964999999999996,23.553599999999996,22.9745,22.099833333333333,20.977439999999998,100.0,1.9468719850036593,99.38080495356037,1.3158593701286856,momentum,bullish,无法获取大盘数据
603601.SH,2026-03-30,14.5000,99.04171364148816,11.956999999999999,11.718399999999999,11.923166666666667,8.840916666666667,6.47752,99.69604863221885,0.10294661003322554,90.40247678018576,1.977623593216251,momentum,bullish,无法获取大盘数据
603876.SH,2026-03-30,23.2800,95.37767756482526,20.395000000000003,18.6618,18.0975,15.3785,12.150360000000001,100.0,0.27739867934752355,97.9735434843794,1.240178038086569,momentum,bullish,无法获取大盘数据
603929.SH,2026-03-30,187.4100,99.68996617812851,160.1135,150.768,143.50616666666667,100.66258333333333,65.26252,99.08814589665653,0.07794368259311661,98.25499577821559,1.210677886626769,momentum,bullish,无法获取大盘数据
688025.SH,2026-03-30,234.6000,99.29537767756483,233.15099999999998,199.0616,189.39533333333333,166.93233333333333,122.80943999999998,96.65653495440729,-0.04070715148158157,97.86096256684492,1.7438381921777764,momentum,bullish,无法获取大盘数据
688048.SH,2026-03-30,223.1600,98.16798196166854,186.6855,154.8406,151.30349999999999,123.55025,91.553,99.08814589665653,0.32831406804515684,96.98846045595272,1.5632012364532135,momentum,bullish,无法获取大盘数据
688167.SH,2026-03-30,347.5200,98.92897406989853,320.67650000000003,289.4394,271.5915,210.35525,147.29880000000003,97.87234042553192,0.005605286736135237,99.09935265972418,1.3078147562362004,momentum,bullish,无法获取大盘数据
688257.SH,2026-03-30,72.9900,99.57722660653889,71.5535,59.883599999999994,55.99083333333333,41.04008333333333,27.810411199999997,97.26443768996961,-0.0261410446492215,99.49338587109486,1.6534354988971744,momentum,bullish,无法获取大盘数据
688295.SH,2026-03-30,57.6100,96.08229988726042,47.338499999999996,38.4706,37.428999999999995,31.82991666666667,26.571519999999996,98.17629179331307,2.6897473368939884,99.2682240360259,4.094427713527096,momentum,bullish,无法获取大盘数据
688307.SH,2026-03-30,74.4900,95.49041713641489,61.85,53.35940000000001,51.95783333333334,45.96183333333333,38.00304,99.3920972644377,0.9765285270696681,97.57951027300874,2.2448237926683348,momentum,bullish,无法获取大盘数据
688308.SH,2026-03-30,94.9800,99.46448703494927,84.78999999999999,63.296800000000005,58.109833333333334,43.28125,30.579439999999998,99.3920972644377,0.04518015426586324,99.97185477061637,2.480831145472936,momentum,bullish,无法获取大盘数据
