stock_code,trade_date,close,rps,ma20,ma60,price_percentile,momentum_slope,signal_type
000007.SZ,2026-03-24,13.8500,93.0,13.6685,12.286999999999999,98.93333333333332,0.6485803026002875,momentum
000430.SZ,2026-03-24,7.2000,94.8,7.366,7.0343333333333335,93.73333333333333,0.05794984994089831,momentum
000533.SZ,2026-03-24,17.0600,95.8,15.685999999999998,11.606833333333332,99.06666666666666,0.8168512992192514,momentum
000534.SZ,2026-03-24,39.7300,95.19999999999999,40.6425,31.168499999999998,98.66666666666667,0.2559277314670445,momentum
000600.SZ,2026-03-24,9.6400,91.0,9.5515,8.927666666666665,99.2,0.41388835298480203,momentum
000601.SZ,2026-03-24,8.0600,92.0,6.4325,5.481666666666667,99.86666666666667,0.878046278461771,momentum
000608.SZ,2026-03-24,3.9300,90.2,3.6350000000000002,3.337166666666667,99.73333333333333,0.7008223906473897,momentum
000669.SZ,2026-03-24,5.2100,95.6,4.6155,3.5788333333333333,99.6,0.8168520546469323,momentum
000697.SZ,2026-03-24,9.1700,90.4,9.9735,9.189833333333334,97.33333333333334,0.10762905616074861,momentum
000711.SZ,2026-03-24,4.4500,94.19999999999999,4.226999999999999,2.762833333333333,98.93333333333332,0.9230714864569103,momentum
000833.SZ,2026-03-24,24.6400,91.2,25.613,22.232000000000003,98.13333333333333,0.4488577849546333,momentum
000890.SZ,2026-03-24,12.7900,98.4,10.3385,7.054833333333334,99.33333333333333,0.9314236254064655,momentum
000893.SZ,2026-03-24,59.1000,93.8,61.272000000000006,55.68633333333333,97.73333333333333,0.24804280429455206,momentum
000908.SZ,2026-03-24,7.0500,98.2,4.45,3.9199166666666665,100.0,0.9268089237343757,momentum
000973.SZ,2026-03-24,16.5200,94.39999999999999,14.9425,13.811333333333332,99.6,0.7700528671509175,momentum
000988.SZ,2026-03-24,112.0000,95.39999999999999,110.31750000000002,89.48949999999999,98.53333333333333,0.678262806720713,momentum
001267.SZ,2026-03-24,40.1900,99.4,39.087,29.521,98.66666666666667,0.6687567263408373,momentum
001309.SZ,2026-03-24,349.6300,98.0,296.571,263.9765,99.6,0.8944544868056308,momentum
