factor,IC,ICIR,RankIC,RankICIR,IC_positive,n_days,abs_ICIR
adx_14,0.01874105462844749,0.12820490583180477,0.002255707757036517,0.01698562018500044,0.5616045845272206,698,0.12820490583180477
obv_slope_10d,0.00932868218390718,0.08568532500549134,0.002965593385417118,0.021127886449716807,0.553072625698324,716,0.08568532500549134
rsi_14,0.01507503746113273,0.0795314071995496,-0.0041957517755975915,-0.021130465561309073,0.5513361462728551,711,0.0795314071995496
atr_norm_14,0.021650632830336494,0.07841229218742957,-0.040345846130347425,-0.16056035244206265,0.5119549929676512,711,0.07841229218742957
rsi_bbands_cross,0.012779249703783281,0.0719003177854821,-0.0091550507523116,-0.050228869874538715,0.546742209631728,706,0.0719003177854821
hist_vol_20d,0.01861897123513547,0.07121361023013374,-0.03249973570627149,-0.13518055579438779,0.5304964539007092,705,0.07121361023013374
hist_vol_10d,0.016997664251641963,0.07118542233631941,-0.03566197048535771,-0.16356971790366445,0.5328671328671328,715,0.07118542233631941
amplitude_10d,0.016163580504780548,0.07003030045343472,-0.03575894266038136,-0.16783087832563862,0.5181564245810056,716,0.07003030045343472
turnover_change_5d,0.009032522901396793,0.06773658433531224,-0.0034186790079776055,-0.0262676278490507,0.5056657223796034,706,0.06773658433531224
adx_rsi_cross,0.012697324052650158,0.06702422707192772,-0.009033229637724405,-0.04568608970627386,0.5544412607449857,698,0.06702422707192772
upper_shadow_ratio,0.007629956647251357,0.06637336855523918,0.005074586378605568,0.041600148966841485,0.5393103448275862,725,0.06637336855523918
willr_14,0.010572143428456143,0.06526688728562179,0.0014850968149210967,0.008441036025703643,0.5337078651685393,712,0.06526688728562179
bbands_position,0.010528082516826158,0.06138933631643812,-0.0017267916257396572,-0.009389198897844845,0.5339943342776204,706,0.06138933631643812
new_high_20d,0.007737603634835226,0.06108232413004727,6.747255460813558e-06,5.36943945011047e-05,0.5198300283286119,706,0.06108232413004727
momentum_20d,0.013026846943185443,0.05932707553026062,-0.0101814993408582,-0.04948369934563501,0.5347517730496454,705,0.05932707553026062
rsi_6,0.009975936841897855,0.05782243340777061,-0.0034337660219730614,-0.018571404046927018,0.5368567454798331,719,0.05782243340777061
