etf_code,etf_name,full_ic,full_std,full_count,before_ic,before_count,after_ic,after_count,ic_change
159981.SZ,能源化工ETF(备用),-0.21972832801797815,0.39873301455843907,1359,-0.2622504951523296,439,-0.1994378591353909,920,0.06281263601693873
159930.SZ,能源化工ETF,-0.15835432670743954,0.4176129180463546,1359,-0.11137411422358044,439,-0.18077205853397668,920,-0.06939794431039624
159980.SZ,有色ETF,-0.09832020769908767,0.4368009622110286,1359,-0.10217709339176678,439,-0.09647980246095059,920,0.005697290930816196
159937.SZ,博时黄金,0.0690162620588987,0.3865737779644261,1359,0.005682168251799579,439,0.0992376394298949,920,0.09355547117809532
518880.SH,黄金ETF(沪),0.06791173243521283,0.38648488780446266,1359,0.005391228404324841,439,0.0977448859890822,920,0.09235365758475736
159934.SZ,黄金ETF,0.06769963684194777,0.38655517959075725,1359,0.0033384693226362013,439,0.09841110699518449,920,0.09507263767254828
159985.SZ,豆粕ETF,0.05064123786998516,0.47995716420732937,1359,0.004830473104199531,439,0.07250093975278937,920,0.06767046664858985
159941.SZ,纳指ETF,-0.04726744377234753,0.43838252991184085,1359,0.08368184031578986,439,-0.10975302607092612,920,-0.19343486638671598
159919.SZ,沪深300ETF,-0.04237390886447683,0.46236230031416065,1359,-0.08462240375227925,439,-0.02221402923866675,920,0.0624083745136125
159901.SZ,深证100ETF,-0.035615463766565325,0.4599233235575381,1359,-0.10083286750652534,439,-0.004495420025432217,920,0.09633744748109313
159915.SZ,创业板ETF,-0.017413529586867593,0.4600069395408814,1359,-0.09228801185713534,439,0.018314620105140584,920,0.11060263196227592
