date,pb,pe_ttm,market_cap,volatility_20,close,roe_ttm,pb_roe,composite_score
2026-01-05,-0.05308933897558585,0.06448628025596077,-0.13312070530024156,-0.030486359571388063,-0.01343427513879535,0.018243098587293748,0.015780772273498125,-0.007953067493008094
2026-01-06,-0.11506851570958053,0.036011724408990066,-0.1672323373305035,-0.08130653862011719,-0.07156789386695105,0.016077253786707036,0.04072450684733991,0.04705942376852589
2026-01-07,-0.1604347812282,0.0007222279774100763,-0.21775798606140373,-0.1562159953524906,-0.13678939958233513,0.00016033490801863596,0.05278541896298857,0.09915308334217342
2026-01-08,-0.1807877622252957,-0.00967517024749819,-0.20622611097577828,-0.16959714403827603,-0.13286366346910827,0.03377744879335834,0.09298332122649076,0.12481837970143049
2026-01-09,-0.18363909110502277,-0.01411288559221757,-0.21815371812476858,-0.1714169761481304,-0.1411307706467974,0.012306715234736901,0.07076003380996936,0.1211792555067896
2026-01-12,-0.2229856341521058,-0.033440048633168934,-0.22064207572834907,-0.245714107575408,-0.1678452398100018,0.05560711994794479,0.12459529019015236,0.18769129704385343
2026-01-13,-0.19898007645494706,-0.018697342234151763,-0.187911706786719,-0.22801762894353794,-0.13776660921588677,0.05255385747052298,0.11203143094605096,0.16853486186995298
2026-01-14,-0.1975921586166502,-0.0024968631057048574,-0.12626951955232332,-0.2288423124412528,-0.09935438901253563,0.09287288184833822,0.14572029934845365,0.17963942202382965
2026-01-15,,,,-0.20407545938830426,-0.11410182538799057,0.017925457555909206,,0.1897252650988484
2026-01-19,-0.18946505421220075,-0.04626474462460568,-0.176565144612862,-0.18866391558196824,-0.1903782173682052,-0.030621282612929058,0.038705476902918444,0.14213683432032842
2026-01-20,-0.10474799119156726,-0.024110511851049305,-0.14443051112155564,-0.06945309905137334,-0.12887482984545648,-0.0758590018271735,-0.04317520963060577,0.039378065641221614
2026-01-21,-0.11575433250070075,-0.01292776387850657,-0.10784961816325284,-0.08372707943006555,-0.1394783974146997,-0.04002656880008483,-0.0008369387021900445,0.07018487825268757
2026-01-22,-0.11755490842139509,-0.020645380348171052,-0.0816316388145837,-0.07708076980741294,-0.1229638875747125,-0.021738977799245614,0.019861434519162894,0.08031710251184211
2026-01-23,-0.15691561028771994,-0.010096334362550318,0.006044032708305973,-0.1355326334879004,-0.11960789748277927,0.0674032059794666,0.12447042041851915,0.1617829898672558
2026-01-26,-0.18676589252331707,-0.027700601392460465,0.010717637167257862,-0.18653165147433917,-0.13842590467936033,0.07485979850998142,0.14588591752075492,0.20526280090769536
2026-01-27,-0.1990953674083149,-0.04214518911368567,-0.026830542446759302,-0.19579533173569358,-0.1876849283526837,0.051513338177000705,0.12946578409119353,0.21697575560828566
2026-01-28,-0.14774352473449384,-0.04396535271435361,-0.10717895776335051,-0.157796047570981,-0.17522728447725075,-0.0030897017732198478,0.05999377039295742,0.13654291217669792
2026-01-29,-0.11678145485696366,-0.0327830448336706,-0.18573774541059998,-0.1344163021509262,-0.1327453905370654,-0.02607853081987553,0.02374385256679234,0.06932024035558641
2026-01-30,-0.13474028788391026,-0.06491098571894752,-0.12638835702388626,-0.11611143979545614,-0.17939839417765563,-0.06860031025375816,-0.005604578993498488,0.10111345405573997
2026-02-02,-0.0725599123359488,-0.03965663798231136,-0.09942340711507835,-0.02281268748751312,-0.08645677987647934,-0.057629591042243085,-0.031665845067736766,0.02531644768551149
2026-02-03,-0.15598535655874368,-0.06900149865796247,-0.08621595894020495,-0.13167352729515636,-0.16111702688577847,-0.024283709296161804,0.04039279696795579,0.13774844408435952
2026-02-04,-0.14409884145006036,-0.04492631827678221,-0.04797736912492518,-0.1279819712215542,-0.12697118892033057,-0.005412384030368072,0.053172296622049864,0.129287864051584
2026-02-05,-0.16364161248107248,-0.04487721918506865,-0.044118799418594264,-0.11332085483448245,-0.13646652894122824,0.008439794792857551,0.0672479789957179,0.14584261024998157
2026-02-06,-0.1267846880109738,-0.03318415011674394,-0.034841059360288966,-0.11426494643091943,-0.11937121662166693,-0.003836075107374413,0.0450427655485366,0.11966002839454001
2026-02-09,-0.20867140792155817,-0.07002996331526043,-0.010982872047511832,-0.20055451148384393,-0.19566398081720784,0.03952593197029237,0.12723964959144107,0.2404628728644799
2026-02-10,-0.16121923070820782,-0.036200040086711745,-0.057396240158229174,-0.14488360515937987,-0.1399651536242136,0.025176315131220792,0.09341818167425187,0.15334638812703832
2026-02-11,-0.15206112529929053,-0.03950705726402002,-0.051066427717374664,-0.172038338359249,-0.14951779694925418,0.005869564748190914,0.07911748994407967,0.1540880120373371
2026-02-12,-0.21473805126782983,-0.0737795556362098,-0.03493222750858233,-0.2167716192257404,-0.20405755555416336,0.02732233656078296,0.129066777615946,0.23583168342075356
2026-02-13,-0.22760958851780902,-0.07775933524202033,0.07462640254666535,-0.15070192214442427,-0.20220349712399244,0.07600083617218371,0.17392917896267945,0.2738127754876935
2026-02-24,-0.20706084441883804,-0.09076560444768357,0.005038122572366827,-0.1785945753072749,-0.19633335730086846,0.022943057765909013,0.11909745531910029,0.23153795792251775
2026-02-25,-0.19477134378844624,-0.07905170761115193,-0.041749308112984655,-0.2048471252806805,-0.18463442005374275,0.02752218357738904,0.11754814740923257,0.21232420590976228
