signal_date,buy_date,sell_date,portfolio_ret,benchmark_ret,excess_ret,n_stocks,top_stocks,cum_portfolio,cum_benchmark,cum_excess
2023-07-05,2023-07-06,2023-07-13,0.03159639327365218,0.03169084923370229,-9.445596005010909e-05,10,"002230.SZ,601888.SH,600104.SH,002415.SZ,000568.SZ,000725.SZ,002027.SZ,600309.SH,601919.SH,601225.SH",1.0315963932736523,1.0316908492337022,0.9999055440399499
2023-07-12,2023-07-13,2023-07-20,-0.019481329794037106,-0.014144701369386297,-0.005336628424650809,10,"601888.SH,601012.SH,600104.SH,002027.SZ,600809.SH,002230.SZ,000725.SZ,600031.SH,002352.SZ,601857.SH",1.011499523721949,1.017097890265763,0.9945694196916605
2023-07-19,2023-07-20,2023-07-27,0.003317319533360454,0.02848227448898105,-0.025164954955620593,10,"600104.SH,600031.SH,002230.SZ,002027.SZ,600887.SH,600519.SH,600050.SH,601919.SH,600438.SH,601012.SH",1.0148549908499767,1.046067151558476,0.9695411250448822
2023-07-26,2023-07-27,2023-08-03,0.038126201673679215,0.024068012614247857,0.014058189059431358,10,"601012.SH,600104.SH,000725.SZ,601888.SH,601138.SH,600050.SH,600000.SH,002475.SZ,600900.SH,600585.SH",1.0535475569006627,1.0712439089575359,0.983171117481657
2023-08-02,2023-08-03,2023-08-10,-0.012670099093463569,-0.009777115656855144,-0.0028929834366084248,10,"601138.SH,002230.SZ,600104.SH,600000.SH,601012.SH,600030.SH,002142.SZ,601601.SH,300059.SZ,600585.SH",1.040199004955055,1.0607702333629565,0.9803268197234308
2023-08-09,2023-08-10,2023-08-17,-0.036821034582645,-0.03507076326703753,-0.0017502713156074684,10,"600276.SH,300059.SZ,600104.SH,002142.SZ,002475.SZ,600000.SH,600900.SH,600309.SH,601166.SH,002714.SZ",1.001897801420772,1.023568211627964,0.9786109818109482
2023-08-16,2023-08-17,2023-08-24,-0.013836622261992346,-0.020841567641493062,0.007004945379500716,10,"601138.SH,002230.SZ,600104.SH,600900.SH,600036.SH,600050.SH,600276.SH,002142.SZ,300059.SZ,601398.SH",0.9880349199973921,1.0022354455096378,0.9854660982863134
2023-08-23,2023-08-24,2023-08-31,0.003449604605253233,0.013802009161147386,-0.010352404555894153,10,"600276.SH,600900.SH,600585.SH,600104.SH,300059.SZ,300760.SZ,600030.SH,002230.SZ,600000.SH,601288.SH",0.9914432498075662,1.0160683083101887,0.9752641545607349
2023-08-30,2023-08-31,2023-09-07,0.008367472862793502,0.009651403655527073,-0.0012839307927335706,10,"300059.SZ,002230.SZ,601601.SH,601012.SH,002352.SZ,600519.SH,601888.SH,000858.SZ,601668.SH,000001.SZ",0.9997391242953308,1.0258747936952788,0.974011982881645
2023-09-06,2023-09-07,2023-09-14,0.0056389108629363765,-0.006074996245051713,0.01171390710798809,10,"600030.SH,601857.SH,600887.SH,601288.SH,600050.SH,600900.SH,600104.SH,002415.SZ,002142.SZ,601166.SH",1.0053765641034225,1.0196426081756869,0.985421468771188
2023-09-13,2023-09-14,2023-09-21,-0.011819488807816967,-0.015194266809035507,0.0033747780012185393,10,"002475.SZ,601288.SH,600104.SH,600030.SH,002415.SZ,600000.SH,600900.SH,601398.SH,002714.SZ,600887.SH",0.9934935270563606,1.0041498863372047,0.9887470474659255
2023-09-20,2023-09-21,2023-09-28,0.01908934024603192,0.0024773757852608958,0.016611964460771025,10,"300015.SZ,601939.SH,002027.SZ,002475.SZ,601398.SH,600000.SH,002415.SZ,000725.SZ,600104.SH,601012.SH",1.0124586630265697,1.006637542950389,1.0051720782791216
2023-09-27,2023-09-28,2023-10-13,-0.020800171783511602,-0.010732126291589032,-0.01006804549192257,10,"000002.SZ,601138.SH,000725.SZ,002304.SZ,601166.SH,600031.SH,600887.SH,601919.SH,601398.SH,601012.SH",0.9913993489119126,0.9958341817095906,0.9950519600677971
2023-10-12,2023-10-13,2023-10-20,-0.04647343516101128,-0.043586605876188775,-0.0028868292848225063,10,"002230.SZ,601288.SH,000725.SZ,600887.SH,000001.SZ,600809.SH,600104.SH,601939.SH,002714.SZ,600900.SH",0.945325615551586,0.9524291497133777,0.9921794149295533
