date,stock_code,prediction,pred_rank
2023-07-19,600028.SH,-0.005604288,45
2023-07-19,600030.SH,-0.0023258813,34
2023-07-19,600031.SH,0.0154034,2
2023-07-19,600036.SH,-0.003952609,40
2023-07-19,600050.SH,0.006138683,7
2023-07-19,600104.SH,0.015834205,1
2023-07-19,600276.SH,0.003660831,12
2023-07-19,600309.SH,-0.009633471,49
2023-07-19,600438.SH,0.0049464437,9
2023-07-19,600519.SH,0.0069114687,6
2023-07-19,600585.SH,0.0006577928,19
2023-07-19,600690.SH,-0.0019666061,30
2023-07-19,600809.SH,0.00039313527,22
2023-07-19,600887.SH,0.0073109223,5
2023-07-19,600900.SH,0.00045746335,20
2023-07-19,601012.SH,0.0042025885,10
2023-07-19,601138.SH,0.003318469,14
2023-07-19,601166.SH,-0.0010841981,28
2023-07-19,601225.SH,0.0012718968,17
2023-07-19,601288.SH,-0.002988523,38
2023-07-19,601318.SH,-0.00029433117,23
2023-07-19,601398.SH,-0.0026547515,36
2023-07-19,601601.SH,-0.0045996294,41
2023-07-19,601668.SH,-0.0021182306,33
2023-07-19,601857.SH,0.001086893,18
2023-07-19,601888.SH,0.003614854,13
2023-07-19,601899.SH,-0.0028086456,37
2023-07-19,601919.SH,0.005716757,8
2023-07-19,601939.SH,-0.0018572714,29
2023-07-26,000001.SZ,0.0028979424,19
2023-07-26,000002.SZ,0.0022049346,26
2023-07-26,000333.SZ,-0.0013842655,37
2023-07-26,000568.SZ,-0.012768439,48
2023-07-26,000651.SZ,-0.0051410384,44
2023-07-26,000725.SZ,0.013269265,3
2023-07-26,000858.SZ,-0.009139691,47
2023-07-26,002027.SZ,0.0038651936,16
2023-07-26,002142.SZ,0.002280581,25
2023-07-26,002230.SZ,0.0040384466,14
2023-07-26,002304.SZ,-0.007099331,45
2023-07-26,002352.SZ,0.0014601131,30
2023-07-26,002415.SZ,-0.02905951,50
2023-07-26,002475.SZ,0.006161521,8
2023-07-26,002594.SZ,-0.0026304498,41
2023-07-26,002714.SZ,0.002370097,23
2023-07-26,300015.SZ,0.0036582942,17
2023-07-26,300059.SZ,0.0026891385,21
2023-07-26,300750.SZ,-0.003506405,42
2023-07-26,300760.SZ,-0.004881816,43
2023-07-26,600000.SH,0.006504123,7
2023-07-26,600028.SH,0.0018301972,27
2023-07-26,600030.SH,-0.0020327417,39
2023-07-26,600031.SH,-0.0003248761,34
2023-07-26,600036.SH,0.003106545,18
2023-07-26,600050.SH,0.008398438,6
2023-07-26,600104.SH,0.013633074,2
2023-07-26,600276.SH,-0.0012658281,36
2023-07-26,600309.SH,0.0007832055,32
2023-07-26,600438.SH,-0.0023916543,40
2023-07-26,600519.SH,0.0017863163,28
2023-07-26,600585.SH,0.005552517,10
2023-07-26,600690.SH,-0.00023652556,33
2023-07-26,600809.SH,-0.012933079,49
2023-07-26,600887.SH,0.0051374068,12
2023-07-26,600900.SH,0.0059604207,9
2023-07-26,601012.SH,0.018840611,1
2023-07-26,601138.SH,0.009915569,5
2023-07-26,601166.SH,0.0052776644,11
2023-07-26,601225.SH,-0.0018486856,38
2023-07-26,601288.SH,0.0039746086,15
2023-07-26,601318.SH,0.0023384339,24
2023-07-26,601398.SH,0.0024043533,22
2023-07-26,601601.SH,0.0027602287,20
2023-07-26,601668.SH,0.0014174263,31
2023-07-26,601857.SH,-0.0010556382,35
2023-07-26,601888.SH,0.012474367,4
2023-07-26,601899.SH,-0.008594486,46
2023-07-26,601919.SH,0.0017008162,29
2023-07-26,601939.SH,0.0049323407,13
2023-08-02,000001.SZ,0.0019610734,22
2023-08-02,000002.SZ,-0.0009120374,40
2023-08-02,000333.SZ,-0.00054649106,38
2023-08-02,000568.SZ,-0.007569982,47
2023-08-02,000651.SZ,-0.0016717486,43
2023-08-02,000725.SZ,0.0062416866,12
2023-08-02,000858.SZ,-0.01068052,49
2023-08-02,002027.SZ,-0.008065785,48
2023-08-02,002142.SZ,0.009360757,7
2023-08-02,002230.SZ,0.019862985,2
2023-08-02,002304.SZ,-0.011429677,50
2023-08-02,002352.SZ,0.001107667,30
2023-08-02,002415.SZ,0.0010011224,31
2023-08-02,002475.SZ,0.0063845553,11
2023-08-02,002594.SZ,0.001155649,29
2023-08-02,002714.SZ,0.00617089,13
2023-08-02,300015.SZ,0.0018203914,24
2023-08-02,300059.SZ,0.0074948086,9
2023-08-02,300750.SZ,-7.369323e-05,35
2023-08-02,300760.SZ,0.00086420827,32
2023-08-02,600000.SH,0.012731035,4
2023-08-02,600028.SH,0.0026257297,21
2023-08-02,600030.SH,0.01210586,6
2023-08-02,600031.SH,-0.0008619668,39
2023-08-02,600036.SH,-0.0011676538,41
2023-08-02,600050.SH,0.005929026,15
2023-08-02,600104.SH,0.01715949,3
2023-08-02,600276.SH,0.0035977971,18
2023-08-02,600309.SH,0.0033259226,19
2023-08-02,600438.SH,0.0014560963,26
2023-08-02,600519.SH,-0.0054947967,45
2023-08-02,600585.SH,0.0068003484,10
2023-08-02,600690.SH,0.0006193998,33
2023-08-02,600809.SH,-0.007390895,46
2023-08-02,600887.SH,0.0047041075,17
2023-08-02,600900.SH,0.005960036,14
2023-08-02,601012.SH,0.012158873,5
2023-08-02,601138.SH,0.031988055,1
2023-08-02,601166.SH,0.0057959305,16
2023-08-02,601225.SH,-0.0012643728,42
2023-08-02,601288.SH,0.0016905556,25
2023-08-02,601318.SH,-9.016433e-05,36
2023-08-02,601398.SH,0.0019190712,23
2023-08-02,601601.SH,0.007984576,8
2023-08-02,601668.SH,0.0013494375,27
2023-08-02,601857.SH,-0.00015561792,37
2023-08-02,601888.SH,0.0012104169,28
2023-08-02,601899.SH,-0.0049642404,44
2023-08-02,601919.SH,0.00018609504,34
2023-08-02,601939.SH,0.003311032,20
2023-08-09,000001.SZ,0.0007974576,16
2023-08-09,000002.SZ,-0.0023280724,38
2023-08-09,000333.SZ,-0.00045206424,24
2023-08-09,000568.SZ,-0.0074189585,46
2023-08-09,000651.SZ,-0.0010313019,29
2023-08-09,000725.SZ,0.0016810269,11
2023-08-09,000858.SZ,-0.0014453391,32
2023-08-09,002027.SZ,-0.0019690965,35
2023-08-09,002142.SZ,0.0072462927,4
2023-08-09,002230.SZ,-0.000986533,28
2023-08-09,002304.SZ,-0.010396725,47
2023-08-09,002352.SZ,-0.0013834231,30
2023-08-09,002415.SZ,-0.0014037696,31
2023-08-09,002475.SZ,0.006373819,5
2023-08-09,002594.SZ,-0.0049397573,43
2023-08-09,002714.SZ,0.0021361278,10
2023-08-09,300015.SZ,0.00080855854,15
2023-08-09,300059.SZ,0.009292565,2
2023-08-09,300750.SZ,-0.0064034066,45
2023-08-09,300760.SZ,0.0007358818,18
2023-08-09,600000.SH,0.0048548784,6
2023-08-09,600028.SH,-0.00023505559,22
2023-08-09,600030.SH,-0.02319236,50
